pair,village,geo_x,geo_y,n_observations,first_endpoint,second_endpoint,midpoint,separation_change
uː->oː,jarsnas,113.0,452.0,3,4.677293050541982,-1.7108984645045087,-0.4305283166188699,-2.560740295771277
uː->oː,karna,53.0,448.0,3,8.80404915121128,10.31385870268589,9.558953926948584,1.5098095514746088
uː->oː,karsta,186.0,377.0,3,-7.051407048541129,-10.763296225663604,-6.744857125565918,-3.7088199409010745
uː->oː,korsberga,100.0,432.0,3,-0.9738137652682607,-2.5313496964247473,-3.523464275907938,5.940376548343577
uː->oː,kramfors,173.0,248.0,3,2.403613633789759,0.8754379554267284,0.2428927544296303,1.2650904019941969
uː->oː,kyrkslatt,310.0,347.0,3,-18.715262446608282,2.118951346265301,-7.151243943998295,19.584698777053678
uː->oː,lanna,161.0,393.0,2,-3.59062935128573,-5.564014793086492,-4.577322072186112,-1.9733854418007613
uː->oː,leksand,120.0,335.0,2,4.857370433773035,2.142269218768176,3.499819826270605,-2.7151012150048586
uː->oː,loderup,98.0,543.0,3,-1.9545952455705506,12.22559240986068,5.135498582145064,14.18018765543123
uː->oː,malung,96.0,337.0,3,-16.393729266553326,-1.294742655989746,-9.741775949954938,12.554285219630252
uː->oː,n_rorum,84.0,522.0,2,-5.549696923814167,2.1308252273122092,-1.7094358482509782,7.680522151126375
uː->oː,narpes,237.0,258.0,3,10.517897616122312,-0.9462141899404836,5.44696914696419,-10.141856938316245
uː->oː,nora,160.0,357.0,3,-7.496518697232942,-2.6717116988006966,-5.0719297257404214,3.277842506813167
uː->oː,nysatra,228.0,188.0,3,-2.4936881603345373,0.5620260264040208,-0.9658310669652582,3.055714186738557
uː->oː,ockelbo,156.0,328.0,3,-6.0936331961597485,0.6156780387949564,-2.1739674043015427,7.8393315837164135
uː->oː,orust,49.0,436.0,3,0.4608897105144929,-2.509392098613107,-1.0242511940493069,-2.9702818091275995
uː->oː,ossjo,74.0,515.0,3,-5.243288665136993,7.179466960258673,0.9825714023940181,13.142510319456871
uː->oː,ostad,63.0,445.0,2,6.1546162121014465,4.307092539140123,5.230854375620785,-1.8475236729613251
uː->oː,ovanaker,140.0,310.0,3,-8.833713573249762,-1.9969131581496555,-5.415313365699708,6.836800415100106
