method,grouping,village,speaker,pair,first_vowel,second_vowel,display_x,display_y,geo_x,geo_y
pca,village,houtskar,,yː->ʉ̟ː,yː,ʉ̟ː,2.0883271551319984,11.133937156013266,245.0,347.0
pca,village,houtskar,,ʉ̟ː->øː,ʉ̟ː,øː,-1.0731530923106725,2.502911006190109,245.0,347.0
pca,village,jamshog,,uː->oː,uː,oː,5.509996649541003,-8.158465383119815,108.0,514.0
pca,village,jamshog,,oː->ɑː,oː,ɑː,-6.932979138971287,-21.369152149081337,108.0,514.0
pca,village,jamshog,,ɑː->æː,ɑː,æː,-25.764584873426134,-11.586838406212934,108.0,514.0
pca,village,jamshog,,æː->eː,æː,eː,-22.61008503296393,9.93587409995216,108.0,514.0
pca,village,jamshog,,yː->ʉ̟ː,yː,ʉ̟ː,1.2507335693360333,8.573685041108504,108.0,514.0
pca,village,jamshog,,ʉ̟ː->øː,ʉ̟ː,øː,5.249034393059748,3.830392393994736,108.0,514.0
pca,village,jarnboas,,uː->oː,uː,oː,45.64079513945828,0.022006032301795653,117.0,378.0
pca,village,jarnboas,,oː->ɑː,oː,ɑː,37.75995990611458,-11.007381649300312,117.0,378.0
pca,village,jarnboas,,ɑː->æː,ɑː,æː,0.7318107201769486,-17.60138523736248,117.0,378.0
pca,village,jarnboas,,æː->eː,æː,eː,-18.783911847168476,3.036225626437271,117.0,378.0
pca,village,jarnboas,,yː->ʉ̟ː,yː,ʉ̟ː,10.757725993442232,9.379253399664872,117.0,378.0
pca,village,jarnboas,,ʉ̟ː->øː,ʉ̟ː,øː,1.847607281712853,-0.35802552669864696,117.0,378.0
pca,village,jarsnas,,uː->oː,uː,oː,40.1285139053705,-0.020590128332964863,113.0,452.0
pca,village,jarsnas,,oː->ɑː,oː,ɑː,32.99549778362854,-11.716135387634605,113.0,452.0
pca,village,jarsnas,,ɑː->æː,ɑː,æː,-1.4027654945085857,-16.18740196379027,113.0,452.0
pca,village,jarsnas,,æː->eː,æː,eː,-20.453699130566104,2.942240814685066,113.0,452.0
pca,village,jarsnas,,yː->ʉ̟ː,yː,ʉ̟ː,-3.847848624321384,13.601059016855466,113.0,452.0
pca,village,jarsnas,,ʉ̟ː->øː,ʉ̟ː,øː,-3.3010120712797715,-0.5632872115576739,113.0,452.0
pca,village,karna,,uː->oː,uː,oː,25.752105781284335,-10.429201386888641,53.0,448.0
pca,village,karna,,oː->ɑː,oː,ɑː,18.239495433059147,-20.743625914358084,53.0,448.0
pca,village,karna,,ɑː->æː,ɑː,æː,-13.656404102958549,-18.76966109930068,53.0,448.0
pca,village,karna,,æː->eː,æː,eː,-29.895183583567054,-1.749996934910401,53.0,448.0
pca,village,karna,,yː->ʉ̟ː,yː,ʉ̟ː,-11.833312206380937,14.023877361757943,53.0,448.0
pca,village,karna,,ʉ̟ː->øː,ʉ̟ː,øː,-16.85247627984287,1.4834043953286065,53.0,448.0
pca,village,karsta,,uː->oː,uː,oː,53.87201918872661,10.892523973923005,186.0,377.0
pca,village,karsta,,oː->ɑː,oː,ɑː,41.73861027705332,-7.3038280394466,186.0,377.0
pca,village,karsta,,ɑː->æː,ɑː,æː,9.718692960281114,-10.620742946835215,186.0,377.0
pca,village,karsta,,æː->eː,æː,eː,-9.92612916232717,10.161441055560577,186.0,377.0
pca,village,karsta,,yː->ʉ̟ː,yː,ʉ̟ː,9.741737975597054,24.336394134557548,186.0,377.0
pca,village,karsta,,ʉ̟ː->øː,ʉ̟ː,øː,-1.3687295515070956,11.227260890188298,186.0,377.0
pca,village,korsberga,,uː->oː,uː,oː,33.87969519431718,2.402472931136228,100.0,432.0
pca,village,korsberga,,oː->ɑː,oː,ɑː,23.412079472795412,-11.293972043252358,100.0,432.0
pca,village,korsberga,,ɑː->æː,ɑː,æː,-7.747168615282815,-17.997938867565907,100.0,432.0
pca,village,korsberga,,æː->eː,æː,eː,-25.396258263494037,0.9749401062958949,100.0,432.0
pca,village,korsberga,,yː->ʉ̟ː,yː,ʉ̟ː,-8.885159404449658,19.160484257775444,100.0,432.0
pca,village,korsberga,,ʉ̟ː->øː,ʉ̟ː,øː,-11.402959887891576,7.9362464290593415,100.0,432.0
pca,village,kramfors,,uː->oː,uː,oː,33.96352052817941,-0.31452941570422954,173.0,248.0
pca,village,kramfors,,oː->ɑː,oː,ɑː,21.362759031294786,-12.775415360518311,173.0,248.0
pca,village,kramfors,,ɑː->æː,ɑː,æː,-6.881120087880227,-15.083882630162702,173.0,248.0
pca,village,kramfors,,æː->eː,æː,eː,-25.938452502558363,2.614314761678963,173.0,248.0
pca,village,kramfors,,yː->ʉ̟ː,yː,ʉ̟ː,-10.36685418746963,20.874132314475638,173.0,248.0
pca,village,kramfors,,ʉ̟ː->øː,ʉ̟ː,øː,-13.832648551227207,8.031180175608094,173.0,248.0
pca,village,kyrkslatt,,uː->oː,uː,oː,45.54013365019739,10.676485379430698,310.0,347.0
pca,village,kyrkslatt,,oː->ɑː,oː,ɑː,13.73769154911626,-15.302767890399409,310.0,347.0
pca,village,kyrkslatt,,ɑː->æː,ɑː,æː,-10.816128735630937,-7.435666162939562,310.0,347.0
pca,village,kyrkslatt,,æː->eː,æː,eː,-19.538071992235746,9.949222702842446,310.0,347.0
pca,village,kyrkslatt,,yː->ʉ̟ː,yː,ʉ̟ː,9.793334459673776,25.364572441176616,310.0,347.0
pca,village,kyrkslatt,,ʉ̟ː->øː,ʉ̟ː,øː,6.720284014172433,8.991170180212178,310.0,347.0
pca,village,lanna,,uː->oː,uː,oː,32.47029590962145,5.399620795987272,161.0,393.0
pca,village,lanna,,oː->ɑː,oː,ɑː,24.177907485736593,-12.006651877545725,161.0,393.0
pca,village,lanna,,ɑː->æː,ɑː,æː,-5.435250930326879,-25.32146345811224,161.0,393.0
pca,village,lanna,,æː->eː,æː,eː,-21.778683305830405,-6.440196873477885,161.0,393.0
pca,village,lanna,,yː->ʉ̟ː,yː,ʉ̟ː,-3.160518603456018,14.003981562187438,161.0,393.0
pca,village,lanna,,ʉ̟ː->øː,ʉ̟ː,øː,-4.529884968576829,-7.64172409619738,161.0,393.0
pca,village,leksand,,uː->oː,uː,oː,19.086916659170114,-3.869646695483748,120.0,335.0
pca,village,leksand,,oː->ɑː,oː,ɑː,12.515390847281815,-16.5008618139109,120.0,335.0
pca,village,leksand,,ɑː->æː,ɑː,æː,-19.667930643184587,-17.603452112530373,120.0,335.0
pca,village,leksand,,æː->eː,æː,eː,-42.69692184016896,0.9734151315515183,120.0,335.0
pca,village,leksand,,yː->ʉ̟ː,yː,ʉ̟ː,-19.583626036749703,20.442918554229593,120.0,335.0
pca,village,leksand,,ʉ̟ː->øː,ʉ̟ː,øː,-26.68681680041601,3.7647737237399466,120.0,335.0
pca,village,loderup,,uː->oː,uː,oː,-22.67557458250225,-8.073277091702534,98.0,543.0
pca,village,loderup,,oː->ɑː,oː,ɑː,-5.474542458033164,-23.87097457219749,98.0,543.0
pca,village,loderup,,ɑː->æː,ɑː,æː,-12.646026056374819,-24.40494407117043,98.0,543.0
pca,village,loderup,,æː->eː,æː,eː,-33.14611701526769,-17.052867794572606,98.0,543.0
pca,village,loderup,,yː->ʉ̟ː,yː,ʉ̟ː,-11.189100460650778,-2.6031238930810514,98.0,543.0
pca,village,loderup,,ʉ̟ː->øː,ʉ̟ː,øː,-11.65226712612843,-16.756976635718917,98.0,543.0
pca,village,malung,,uː->oː,uː,oː,31.967190952774462,10.190710843511054,96.0,337.0
pca,village,malung,,oː->ɑː,oː,ɑː,19.912507148684245,-13.113675461202165,96.0,337.0
pca,village,malung,,ɑː->æː,ɑː,æː,-7.0702248768192515,-4.485190665148393,96.0,337.0
pca,village,malung,,æː->eː,æː,eː,-12.868557307549995,17.137474026936296,96.0,337.0
pca,village,malung,,yː->ʉ̟ː,yː,ʉ̟ː,12.650355665330817,26.393337828103384,96.0,337.0
pca,village,malung,,ʉ̟ː->øː,ʉ̟ː,øː,8.524629364612625,15.06433181371244,96.0,337.0
