village,vowel,n_speakers,geo_x,geo_y,display_x,display_y,geo_position,geographic_group
jamshog,eː,3,108.0,514.0,-13.3515378546,-4.54815550041,30.28210110195524,South
jamshog,oː,3,108.0,514.0,-8.56334457181,-5.67309803922,30.28210110195524,South
jamshog,uː,3,108.0,514.0,-9.56106904232,-4.0517428088,30.28210110195524,South
jamshog,yː,3,108.0,514.0,-11.3771072036,-4.07991550486,30.28210110195524,South
jamshog,æː,3,108.0,514.0,-12.1178199999,-5.65692307692,30.28210110195524,South
jamshog,øː,3,108.0,514.0,-9.858875,-4.47601659751,30.28210110195524,South
jamshog,ɑː,3,108.0,514.0,-10.0315151515,-6.43574018127,30.28210110195524,South
jamshog,ʉ̟ː,3,108.0,514.0,-11.08184310245,-3.8524117353,30.28210110195524,South
jarnboas,eː,3,117.0,378.0,-13.2270614225,-4.084555503935,165.82018913948008,North
jarnboas,oː,3,117.0,378.0,-6.78051875783,-4.16400673401,165.82018913948008,North
jarnboas,uː,3,117.0,378.0,-8.4460825289,-4.103171373775,165.82018913948008,North
jarnboas,yː,3,117.0,378.0,-11.895216055,-4.10333726955,165.82018913948008,North
jarnboas,æː,3,117.0,378.0,-11.1974512055,-5.54298342541,165.82018913948008,North
jarnboas,øː,3,117.0,378.0,-10.921866874100001,-5.05722132472,165.82018913948008,North
jarnboas,ɑː,3,117.0,378.0,-7.9515530045,-5.44431403648,165.82018913948008,North
jarnboas,ʉ̟ː,3,117.0,378.0,-10.83786036715,-4.1960212635800005,165.82018913948008,North
jarsnas,eː,3,113.0,452.0,-12.63297855605,-4.1449821426549995,92.22478367908248,Centre
jarsnas,oː,3,113.0,452.0,-7.02102621483,-4.24746331237,92.22478367908248,Centre
jarsnas,uː,3,113.0,452.0,-7.46590461726,-4.02349851758,92.22478367908248,Centre
jarsnas,yː,3,113.0,452.0,-12.1352893674,-4.02349851758,92.22478367908248,Centre
jarsnas,æː,3,113.0,452.0,-11.7238781163,-5.88108695652,92.22478367908248,Centre
jarsnas,øː,3,113.0,452.0,-10.5141434143,-4.91050020333,92.22478367908248,Centre
jarsnas,ɑː,3,113.0,452.0,-8.12257083621,-5.155144644125,92.22478367908248,Centre
jarsnas,ʉ̟ː,3,113.0,452.0,-11.07524317255,-4.270486731565,92.22478367908248,Centre
karna,eː,3,53.0,448.0,-12.90230055865,-4.853855389595,85.9151349758696,Centre
karna,oː,3,53.0,448.0,-7.718354072625,-4.906132057495,85.9151349758696,Centre
karna,uː,3,53.0,448.0,-7.97073170732,-4.54815550041,85.9151349758696,Centre
karna,yː,3,53.0,448.0,-11.646820746700001,-4.21971452561,85.9151349758696,Centre
karna,æː,3,53.0,448.0,-12.1124076571,-5.801577582729999,85.9151349758696,Centre
karna,øː,3,53.0,448.0,-10.6128061529,-5.4484431855,85.9151349758696,Centre
